Chemical,log_Kow,mol_w_g_mol,chem_class_corr_acute,acute_wqg
Naphthalene,3.17,128.17,-0.364,540.11
C1-Naphthalenes,3.79,142.20,-0.364,157.33
Acenaphthylene,3.94,152.20,-0.364,121.14
Fluorene,4.02,166.22,-0.364,111.27
Acenaphthene,4.15,154.21,-0.364,77.91
C2-Naphthalenes,4.24,156.23,-0.364,64.46
Anthracene,4.35,178.23,-0.364,58.41
Phenanthrene,4.35,178.23,-0.364,58.41
C1-Fluorenes,4.37,180.25,-0.364,56.59
C3-Naphthalenes,4.73,170.25,-0.364,24.52
C2-Fluorenes,4.82,194.28,-0.364,23.05
C1-Phenanthrenes/Anthracenes,5.04,192.26,-0.364,14.23
C4-Naphthalenes,5.22,184.28,-0.364,9.18
C3-Fluorenes,5.32,208.30,-0.364,8.40
C2-Phenanthrenes/Anthracenes,5.45,206.29,-0.364,6.19
C3-Phenanthrenes/Anthracenes,5.91,220.31,-0.364,2.48
C4-Phenanthrenes/Anthracenes,6.36,234.34,-0.364,1.00
Pyrene,4.93,202.25,-0.364,18.89
Fluoranthene,4.93,202.25,-0.364,18.89
C1-Fluoranthenes/Pyrenes,5.26,216.28,-0.364,9.89
Benz[a]anthracene,5.52,228.29,-0.364,5.95
C2-Fluoranthenes/Pyrenes,5.56,230.31,-0.364,5.50
Benzo(b)fluorene,5.63,216.28,-0.364,4.44
Chrysene/Triphenylene,5.78,228.29,-0.364,3.39
Benzo[b]fluoranthene,6.11,252.32,-0.364,1.83
Benzo[a]pyrene,6.11,252.32,-0.364,1.83
Perylene,6.11,252.32,-0.364,1.83
C1-Chrysenes,6.19,242.32,-0.364,1.48
C3-Fluoranthenes/Pyrenes,6.38,244.34,-0.364,0.99
Benzo[j]fluoranthene/Benzo[k]fluoranthene,6.40,252.32,-0.364,0.98
Benzo[e]pyrene,6.45,252.32,-0.364,0.88
Benzo[a]fluoranthene,6.54,252.32,-0.364,0.72
C2-Chrysenes,6.59,256.35,-0.364,0.66
C4-Fluoranthenes/Pyrenes,6.69,258.37,-0.364,0.53
"Indeno[1,2,3-cd]pyrene",6.7,276.34,-0.364,0.56
"Benzo[g,h,i]perylene",6.7,276.34,-0.364,0.56
C3-Chrysenes,6.97,270.37,-0.364,0.31
Dibenz[ah]anthracene/Dibenz[ac]anthracene,7.13,278.35,-0.364,0.22
C4-Chrysenes,7.42,284.40,-0.364,0.12